Category,Sub-Category,Title,Authors / Inventors,Publication Date,Venue / Publisher / Assignee,Publication Link,DOI,Patent / Paper Number(s),Family & Related Numbers,Verification Status,Notes,Featured,Role Tag,Family Short
Patent,Granted,Downhole laser tool and methods,S.I. Batarseh; D.P. San Roman Alerigi,2024-02-20,Saudi Arabian Oil Company,https://patents.google.com/patent/US11905778B2/en,,US 11905778 B2,,Verified,,no,,
Patent,Granted,4D chemical fingerprint well monitoring,A.C. Cavazos Sepulveda; D.P. San Roman Alerigi,2024-01-09,Saudi Arabian Oil Company,https://patents.google.com/patent/US11867629B2/en,,US 11867629 B2,,Verified,,no,,
Patent,Granted,Deformation monitoring mechanism with multi-pixel angle-sensitive laser ranging,D.P. San Roman Alerigi; A.C. Cavazos Sepulveda; S.I. Batarseh; J.O. Alvarez,2023-12-26,Saudi Arabian Oil Company,https://patents.google.com/patent/US11852005B2/en,,US 11852005 B2,,Verified,LEAD INVENTOR.,no,,
Patent,Granted,Contactless real-time 3D mapping of surface equipment,D.P. San Roman Alerigi; S.I. Batarseh; M. Elaiwy; A.C. Cavazos Sepulveda; M.S. Alotaibi,2023-08-15,Saudi Arabian Oil Company,https://patents.google.com/patent/US11725504B2/en,,US 11725504 B2,FAMILY: WO 2022/251833 A1; CA 3220011 A1; EP 4348176 A1; JP 2024-520436 A. Pre-grant US 2022/0372868 A1,Verified,LEAD INVENTOR. Five-jurisdiction family consolidated into this single entry.,yes,Lead inventor · 5-jurisdiction family,WO / CA / EP / JP
Patent,Granted,System and method for laser downhole extended sensing,S.I. Batarseh; D.P. San Roman Alerigi,2023-04-04,Saudi Arabian Oil Company,https://patents.google.com/patent/US11619097B2/en,,US 11619097 B2,,Verified,,no,,
Patent,Granted,Methods to harvest electromagnetic energy during subsurface high power laser transmission,D.P. San Roman Alerigi (sole inventor),2023-03-14,Saudi Arabian Oil Company,https://patents.google.com/patent/US11604323B2/en,,US 11604323 B2,,Verified,SOLE INVENTOR.,no,,
Patent,Granted,Optical fiber with corrugations,H. Sakr; H.C.H. Mulvad; S. Alam; L. Xu; C. Smith; J. Hayes; D. Richardson; F. Poletti; D.P. San Roman Alerigi; S.I. Batarseh,2023-02-21,University of Southampton & Saudi Arabian Oil Company (co-assignees),https://patents.google.com/patent/US11585976B2/en,,US 11585976 B2,FAMILY: EP 4067735 A1; SA 122430881 B1 (granted 2024-06-09). Pre-grant US 2022/0317365 A1. No WO/CN/JP/CA member.,Verified,Southampton ORC collaboration (Poletti/Richardson hollow-core fibre group).,no,With University of Southampton,EP
Patent,Granted,Nested anti-resonant nodeless optical fiber and subsurface system using the same,H. Sakr; H.C.H. Mulvad; S. Alam; L. Xu; C. Smith; J. Hayes; D. Richardson; F. Poletti; D.P. San Roman Alerigi; S.I. Batarseh,2023-01-17,University of Southampton & Saudi Arabian Oil Company (co-assignees),https://patents.google.com/patent/US11555958B2/en,,US 11555958 B2,FAMILY: EP 4067952 A2 / EP 4067952 B1 (granted approx. 2024-12-11). Pre-grant US 2022/0317369 A1.,Verified,NANF hollow-core fibre enabling multi-kW CW transmission at 1050-1100 nm for downhole delivery.,yes,With University of Southampton,EP
Patent,Granted,Numerical modeling of laser perforating process,D.P. San Roman Alerigi; et al.,2022,Saudi Arabian Oil Company,https://patents.google.com/patent/US11378503B2/en,,US 11378503 B2,,Partially verified,Full co-inventor list not confirmed; verify on Google Patents before final CV use.,no,,
Patent,Granted,Methods of using a laser-induced plasma tool,S.I. Batarseh; D.P. San Roman Alerigi,2020-08-11,Saudi Arabian Oil Company,https://patents.google.com/patent/US10738579B2/en,,US 10738579 B2,FAMILY: US 10731450 B2; MA 52686 A (Morocco); EP 3797206; WO 2020/021321,Verified,Method claims of the laser-induced plasma tool family.,no,,
Patent,Granted,Laser-induced plasma tool,D.P. San Roman Alerigi; S.I. Batarseh,2020-08-04,Saudi Arabian Oil Company,https://patents.google.com/patent/US10731450B2/en,,US 10731450 B2,FAMILY: US 10738579 B2; MA 52686 A (Morocco); EP 3797206; WO 2020/021321. Pre-grant US 2020/0032635 A1,Verified,LEAD INVENTOR. Apparatus claims; five-member international family.,no,,
Patent,Granted,Directional sensitive fiber optic cable wellbore system,D.P. San Roman Alerigi; F. Hveding,2019-07-30,Saudi Arabian Oil Company,https://patents.google.com/patent/US10365537B1/en,,US 10365537 B1,,Verified,LEAD INVENTOR. Earliest granted patent in the portfolio.,no,,
Patent,Application (pending),Measuring wellhead displacement using speckle reflectometry,D.P. San Roman Alerigi; S.I. Batarseh,2026-01-29 (published); filed 2024-07-24,Saudi Arabian Oil Company,,,US 2026/0029227 A1,Sibling of US 12669403 B2 (beam deflection) and US 2026/0028895 A1 (shadowgraphy),Verified,LEAD INVENTOR.,no,,
Patent,Application (pending),Measuring wellhead displacement using shadowgraphy,S.I. Batarseh; D.P. San Roman Alerigi,2026-01-29 (published); filed 2024-07-24,Saudi Arabian Oil Company,,,US 2026/0028895 A1,Sibling of US 12669403 B2; US 2026/0029227 A1,Verified,,no,,
Patent,Application (pending),Hydrogen sulfide dissociation using reactive sulfur species (continuation),A.C. Cavazos Sepulveda; D.P. San Roman Alerigi,2026-02-05 (published); filed 2025-10-14,Saudi Arabian Oil Company,,,US 2026/0035245 A1,Continuation of US 12459816 B2,Verified,,no,,
Patent,Application (pending),Steam-methane reforming in hydrogen production,E.H. Al Munif; N.A. Aljeaban; D.P. San Roman Alerigi,2025-12-04 (published); filed 2024-05-31,Saudi Arabian Oil Company,,,US 2025/0368507 A1,,Verified,New hydrogen-production research strand.,no,,
Patent,Application (pending),Determining wellbore displacement with optical energy sources in a wellbore,D.P. San Roman Alerigi; S.I. Batarseh,2025-10-23 (published); filed 2024-04-18,Saudi Arabian Oil Company,,,US 2025/0327399 A1,Sibling of US 12487075 B2,Verified,LEAD INVENTOR.,no,,
Patent,Application (pending),Processing a fluid emulsion,E.H. Al Munif; L.A. Alhamad; D.P. San Roman Alerigi,2025-07-03 (published); filed 2024-01-02,Saudi Arabian Oil Company,,,US 2025/0214869 A1,,Verified,,no,,
Patent,Application (pending),Downhole high-power laser tool for subsurface applications,S.M. Mutairi; S.I. Batarseh; D.P. San Roman Alerigi,2024-09-19 (published),Saudi Arabian Oil Company,,,US 2024/0309705 A1,,Verified,,no,,
Patent,Application (pending),Distributed fiber sensing in a packer for permanent casing and formation deformation monitoring,D.P. San Roman Alerigi; J.O. Alvarez; A.C. Cavazos Sepulveda; S.I. Batarseh,2024-05-02 (published),Saudi Arabian Oil Company,,,US 2024/0141777 A1,,Verified,LEAD INVENTOR.,no,,
Patent,Application (pending),Casing deformation monitoring,J.O. Alvarez; D.P. San Roman Alerigi,2024-03-14 (published),Saudi Arabian Oil Company,,,US 2024/0084695 A1,,Verified,,no,,
Patent,Application (pending),Photolytic conversion of hydrogen sulfide in a gas mixture produced by a hydrocarbon producing well and/or a gas treatment unit,A.C. Cavazos Sepulveda; D.P. San Roman Alerigi,2024-02-22 (published),Saudi Arabian Oil Company,,,US 2024/0060411 A1,,Verified,H2S valorization cluster.,no,,
Patent,Application (pending),Method and system for spectroscopic prediction of subsurface properties using machine learning,W. Li; D.P. San Roman Alerigi,2022-11-03 (published),Saudi Arabian Oil Company,,,US 2022/0351037 A1,,Verified,,no,,
