Category,Sub-Category,Title,Authors / Inventors,Publication Date,Venue / Publisher / Assignee,Publication Link,DOI,Patent / Paper Number(s),Family & Related Numbers,Verification Status,Notes,Featured,Venue Short,Display Authors
Conference Paper,SPIE / Photonics,AI inference of multiphysics properties using hyperspectral data,D.P. San Roman Alerigi; W. Li; A. Cavazos Sepulveda; S. Batarseh,2023-09-20,SPIE Optical Technology and Measurement for Industrial Applications Conference,https://doi.org/10.1117/12.3005526,10.1117/12.3005526,,,Verified,FIRST AUTHOR. Bridges photonics and machine learning.,no,,
Conference Paper,SPE / Petroleum,High Power Laser Technology Toward the Downhole Applications: The Effect on Permeability,A. Alharith; S. Batarseh; D. San Roman Alerigi,2023-03-07,"SPE Middle East Oil, Gas and Geosciences Show (MEOS GEO)",https://doi.org/10.2118/213948-MS,10.2118/213948-ms,SPE-213948-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,Key Success Factor for High Power Laser Deployment: Strategy and Execution,S. Batarseh; D.P. San Roman Alerigi; A. Al Harith,2023-03-07,"SPE Middle East Oil, Gas and Geosciences Show (MEOS GEO)",https://doi.org/10.2118/213438-MS,10.2118/213438-ms,SPE-213438-MS,OnePetro ID D011S029R002,Verified,,no,,
Conference Paper,SPE / Petroleum,First Industrial Flowlines Descaling Field Deployment Utilizing High Power Laser Technology,S. Batarseh; S. Al Mutairi; M. Alqahtani; W. Assiri; D. San Roman Alerigi; S. Marshal,2022-09-26,SPE Annual Technical Conference and Exhibition (ATCE),https://doi.org/10.2118/209972-MS,10.2118/209972-ms,SPE-209972-MS,OnePetro ID D021S021R001,Verified,"First industry flowline descaling deployment (Dec 2021, 30-ft pipe section).",no,,
Conference Paper,SPE / Petroleum,Principles and Advantages of High-Power Lasers for Descaling Surface Equipment,D.P. San Roman Alerigi; S. Mutairi; S. Batarseh; W. Assiri,2022-09-26,SPE Annual Technical Conference and Exhibition (ATCE),https://doi.org/10.2118/209977-MS,10.2118/209977-ms,SPE-209977-MS,OnePetro ID D021S021R002,Verified,FIRST AUTHOR.,no,,
Conference Paper,SPE / Petroleum,"Laser Technology for Downhole Applications; Past, Present and Future",S. Batarseh; S. Mutairi; D. San Roman Alerigi; A. Al Harith,2021-12-15,SPE Middle East Oil & Gas Show and Conference (MEOS),https://doi.org/10.2118/204661-MS,10.2118/204661-ms,SPE-204661-MS,OnePetro ID D031S016R006,Verified,Invited-style review of the technology roadmap.,no,,
Conference Paper,SPE / Petroleum,The Effect of High Power Laser on Organic-Rich Shales,D. San Roman Alerigi; S. Batarseh; W. Assiri,2021-12-15,SPE Middle East Oil & Gas Show and Conference (MEOS),https://doi.org/10.2118/204809-MS,10.2118/204809-ms,SPE-204809-MS,"Companion: Aramco Journal of Technology, Fall 2021",Verified,FIRST AUTHOR.,no,,
Conference Paper,SPE / Petroleum,Thermal Effect on Formation Stability Due to Heterogeneity,S. Batarseh; D. San Roman Alerigi; A. Al Harith; W. Assiri,2021-12-15,SPE Middle East Oil & Gas Show and Conference (MEOS),https://doi.org/10.2118/204663-MS,10.2118/204663-ms,SPE-204663-MS,OnePetro ID D041S045R004,Verified,,no,,
Conference Paper,SPE / Petroleum,Formation Heterogeneity Effect on Steam Injection and Propagation,S. Batarseh; W. Assiri; D. San Roman Alerigi; B. Khaldi,2021-12-09,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/207970-MS,10.2118/207970-ms,SPE-207970-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,Integrated Multi-Frequency Characterization of Sandstone Rocks,D. San Roman Alerigi; J.O. Alvarez; S.I. Batarseh; B. Al-Khaldi,2020-11-09,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/202920-MS,10.2118/202920-ms,SPE-202920-MS,,Verified,FIRST AUTHOR.,no,,
Conference Paper,SPE / Petroleum,Overview of Recent Waterless Stimulation Technologies,A.M. Al-Harith; S.I. Batarseh; D. San Roman Alerigi; W. Asiri,2020-11-09,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/202762-MS,10.2118/202762-ms,SPE-202762-MS,,Verified,,no,,
Conference Paper,OTC / Petroleum,Advances Towards a Comprehensive Model of Laser-Rock Interaction,D. San Roman Alerigi; S.I. Batarseh; W. Assiri,2020-10-27,"Offshore Technology Conference Asia (OTC Asia), Kuala Lumpur",https://doi.org/10.4043/30196-MS,10.4043/30196-ms,OTC-30196-MS,,Verified,FIRST AUTHOR.,no,,
Conference Paper,OTC / Petroleum,Effective Wellbore Stimulation Methods Utilizing Advanced Thermal Technologies,H. Othman; S.I. Batarseh; D. San Roman Alerigi; A. Alhubai,2020-10-27,Offshore Technology Conference Asia (OTC Asia),https://doi.org/10.4043/30056-MS,10.4043/30056-ms,OTC-30056-MS,,Verified,,no,,
Conference Paper,OTC / Petroleum,Effects of Rocks Heterogeneity on Thermal Propagation: An Integrated Measurement and Analysis Approach,S.I. Batarseh; D. San Roman Alerigi; A.M. Al-Harith; W. Assiri,2020-10-27,Offshore Technology Conference Asia (OTC Asia),https://doi.org/10.4043/30130-MS,10.4043/30130-ms,OTC-30130-MS,,Verified,,no,,
Conference Paper,OTC / Petroleum,Laser Drilling in Extremely Hard Formation,S.I. Batarseh; A.M. Al-Harith; W. Assiri; D. San Roman Alerigi,2020-10-27,Offshore Technology Conference Asia (OTC Asia),https://doi.org/10.4043/30416-MS,10.4043/30416-ms,OTC-30416-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,A New Horizon in Corrosion Prevention Using State of the Art High Power Laser Cladding Technology,W. Assiri; A. Asiri; D. San Roman-Alerigi; S.I. Batarseh; M. Salman,2020-10-19,SPE Annual Technical Conference and Exhibition (ATCE),https://doi.org/10.2118/201617-MS,10.2118/201617-ms,SPE-201617-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,Efficiency of High Power Laser in Carbonate Formations,H. Othman; D. San Roman Alerigi; S.I. Batarseh; O. Al Obaid,2019-11-11,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/197480-MS,10.2118/197480-ms,SPE-197480-MS,OnePetro ID D011S020R002,Verified,,no,,
Conference Paper,SPE / Petroleum,Laser Perforation: The Smart Completion,S.I. Batarseh; D. San Roman Alerigi; A. Al Harith; H. Othman,2019-11-11,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/197192-MS,10.2118/197192-ms,SPE-197192-MS,OnePetro ID D021S044R001,Verified,,no,,
Conference Paper,SPE / Petroleum,Laser Gun: The Next Perforation Technology,S.I. Batarseh; D. San Roman Alerigi; O. Al Obaid; H. Othman,2019-03-15,SPE Middle East Oil and Gas Show and Conference (MEOS),https://doi.org/10.2118/194775-MS,10.2118/194775-ms,SPE-194775-MS,OnePetro ID D032S082R001; companion Aramco JoT Summer 2019,Verified,,no,,
Conference Paper,SPE / Petroleum,Machine Learning and the Analysis of High-Power Electromagnetic Interaction with Subsurface Matter,D.P. San-Roman-Alerigi; S. Batarseh; W. Li; H. Othman,2019-03-15,SPE Middle East Oil and Gas Show and Conference (MEOS),https://doi.org/10.2118/195118-MS,10.2118/195118-ms,SPE-195118-MS,OnePetro ID D021S001R001,Verified,FIRST AUTHOR. Earliest ML-applied-to-subsurface paper in the record.,no,,
Conference Paper,SPE / Petroleum,The Role of Transient Perturbations and Heterogeneities in Subsurface Wave Propagation - A Scalable Numerical Solution,D.P. San-Roman-Alerigi,2019-03-15,SPE Middle East Oil and Gas Show and Conference (MEOS),https://doi.org/10.2118/194888-MS,10.2118/194888-ms,SPE-194888-MS,OnePetro ID D031S013R003,Verified,SOLE AUTHOR.,no,,
Conference Paper,SPE / Petroleum,Downhole High-Power Laser Tools Development and Evolutions,S.I. Batarseh; D. San Roman Alerigi; J. Reece; H. Othman,2018-11-12,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/193064-MS,10.2118/193064-ms,SPE-193064-MS,OnePetro ID D021S039R001,Verified,,no,,
Conference Paper,SPE / Petroleum,Geomechanical and Thermal Dynamics of Distributed and Far-Field Dielectric Heating of Rocks Assisted by Nano-Enablers - A Numerical Exploration,D.P. San-Roman-Alerigi; Y. Han; H. Othman; S.I. Batarseh,2017-11-13,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/188790-MS,10.2118/188790-ms,SPE-188790-MS,,Verified,FIRST AUTHOR.,no,,
Conference Paper,SPE / Petroleum,Laser Perforation: Lab to the Field,S.I. Batarseh; R.M. Graves; D.P. San-Roman-Alerigi; K. Chand,2017-11-13,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/188729-MS,10.2118/188729-ms,SPE-188729-MS,OnePetro ID D011S018R002,Verified,Foundational lab-to-field strategy paper.,no,,
Conference Paper,SPE / Petroleum,Parameters Affecting the Fractured Well Productivity: Proppant Pack vs. Pillar Fracture - Numerical Study,A.M. Gomaa; D.P. San-Roman-Alerigi; K. Alnoaimi; A.J. Moraes,2017-11-13,"ADIPEC, Abu Dhabi",https://doi.org/10.2118/188820-MS,10.2118/188820-ms,SPE-188820-MS,OnePetro ID D011S016R005,Verified,,no,,
Conference Paper,SPE / Petroleum,Fractured Well Productivity: Proppant Pack vs. Pillar Fracture - Numerical Study,A.M. Gomaa; D.P. San-Roman-Alerigi; K. Alnoaimi; G.A. Al-Muntasheri,2017-04-24,SPE Kingdom of Saudi Arabia Annual Technical Symposium and Exhibition,https://doi.org/10.2118/188127-MS,10.2118/188127-ms,SPE-188127-MS,OnePetro ID D033S018R003,Verified - RECLASSIFIED,ORCID/BibTeX typed this as @article; it is a CONFERENCE paper. Corrected here.,no,,
Conference Paper,SPE / Petroleum,Microwave With Assisted Ceramic Materials to Maximize Heat Penetration and Improve Recovery Efficiency of Heavy Oil Reservoirs,S.I. Batarseh; H. Othman; D.P. San-Roman-Alerigi; S. Kumaoka,2017-03-06,SPE Middle East Oil & Gas Show and Conference (MEOS),https://doi.org/10.2118/183773-MS,10.2118/183773-ms,SPE-183773-MS,,Verified,,no,,
Conference Paper,SPE / Petroleum,Numerical Modeling of Thermal-Mechanical Interaction Process in High Power Electromagnetic Heating of Rocks,Y. Han; Y. Fang; D.P. San-Roman-Alerigi; S.I. Batarseh,2017-03-06,SPE Middle East Oil & Gas Show and Conference (MEOS),https://doi.org/10.2118/183836-MS,10.2118/183836-ms,SPE-183836-MS,"Journal version: SPE Journal, DOI 10.2118/183836-PA",Verified,Conference version of the 2019 SPE Journal article.,no,,
Conference Paper,SPE / Petroleum,Thermal and Geomechanical Dynamics of High Power Electromagnetic Heating of Rocks,D.P. San-Roman-Alerigi; Y. Han; S.I. Batarseh,2017-03-06,SPE Middle East Oil & Gas Show and Conference (MEOS),https://doi.org/10.2118/183917-MS,10.2118/183917-ms,SPE-183917-MS,OnePetro ID D041S036R006,Verified,FIRST AUTHOR.,no,,
Conference Paper,ARMA / Rock Mechanics,Numerical Modeling of Thermal and Mechanical Effects in Laser-Rock Interaction - An Overview,D.P. San-Roman-Alerigi; S.I. Batarseh; Y. Han,2016-06-26,"50th US Rock Mechanics / Geomechanics Symposium (ARMA), pp. 1946-1956",https://onepetro.org/ARMAUSRMS/proceedings/ARMA16/All-ARMA16/ARMA-2016-142/124775,,ARMA-2016-142,,Verified,FIRST AUTHOR.,no,,
Conference Paper,SPIE / Photonics,"Heterogeneous, nonlinear and time varying materials: from traveling Bragg mirrors to spontaneous ring resonators and multiphase flow characterization",D.P. San Roman Alerigi,2016,SPIE Photonics Europe,,,,,Partially verified,SOLE AUTHOR. Proceedings number/DOI not located.,no,,
Conference Paper,SPIE / Photonics,An FDTD algorithm for simulating light propagation in anisotropic dynamic gain media,A.A. Al-Jabr; D.P. San Roman Alerigi; B.S. Ooi; M.A. Alsunaidi,2014,"Proc. SPIE 9134, 91341U; SPIE Photonics Europe",https://doi.org/10.1117/12.2051947,10.1117/12.2051947,,,Verified,,no,,
Conference Paper,SPIE / Photonics,Revisiting Maxwell's equations: a wave propagation method for electromagnetics in spacetime-varying media,D.P. San Roman Alerigi,2014,SPIE Photonics Europe,,,,,Partially verified,SOLE AUTHOR. Proceedings number/DOI not located.,no,,
Conference Paper,Photonics,Surface States Effect on the Large Photoluminescence Redshift in GaN Nanostructures,A. Ben Slimane; A. Najar; T.K. Ng; D.P. San-Roman-Alerigi; D.H. Anjum; B.S. Ooi; C. Shen,2013,Asia Communications and Photonics Conference (ACP) 2013,https://doi.org/10.1364/ACPC.2013.ATh3B.3,10.1364/acpc.2013.ath3b.3,,,Verified,,no,,
Conference Paper,Photonics,Photonic analogies of gravitational attractors,D.P. San-Roman-Alerigi; T.K. Ng; B.S. Ooi; M. Alsunaidi,2013,"2013 Saudi International Electronics, Communications and Photonics Conference (SIECPC), IEEE",https://doi.org/10.1109/SIECPC.2013.6550766,10.1109/siecpc.2013.6550766,,,Verified,FIRST AUTHOR.,no,,
Conference Paper,Photonics,On a pragmatic approach to optical analogues of gravitational attractors,D.P. San-Roman-Alerigi; A. Ben Slimane; T.K. Ng; M. Alsunaidi; B.S. Ooi,2012-12-10,IEEE Photonics Global Conference (PGC) 2012,https://arxiv.org/abs/1212.1990,,arXiv:1212.1990,,Verified,FIRST AUTHOR. Consolidated conference paper + arXiv preprint.,no,,
Conference Paper,Photonics,Monolithic Silicon-based Gauss to J0 Bessel beam converter,D.P. San Roman Alerigi; T.K. Ng; Y. Zhang; A. Ben Slimane; B.S. Ooi,2012,Progress In Electromagnetics Research Symposium (PIERS) 2012,,,,,UNVERIFIED,Appears in CV listings only; not found in ORCID export or indexed databases. Confirm before use.,no,,
Conference Paper,Photonics,Fabrication of tuning-fork based AFM and STM tungsten probe,H. Al-Falih; Y. Khan; Y. Zhang; D.P. San-Roman-Alerigi; D. Cha; B.S. Ooi; T.K. Ng,2011,"8th Intl. Conf. on High-Capacity Optical Networks and Emerging Technologies (HONET 2011), pp. 190-192",,,,,Verified,,no,,
Pre-Print,arXiv,A high-order finite volume method for Maxwell's equations in heterogeneous and time-varying media,D.P. San Roman Alerigi; D.I. Ketcheson; B.S. Ooi,2023-07-21,arXiv (physics.comp-ph; math.NA; physics.optics),https://arxiv.org/abs/2307.11842,10.48550/arxiv.2307.11842,arXiv:2307.11842,,Verified - standalone,FIRST AUTHOR. No peer-reviewed journal version identified as of Sept 2026. Collaboration with D.I. Ketcheson (KAUST applied math).,no,,
Pre-Print,arXiv,Controlling light propagation: a brief review,D.P. San-Roman-Alerigi,2013-03-05,arXiv,https://arxiv.org/abs/1303.1014,,arXiv:1303.1014,,Verified - standalone,SOLE AUTHOR review preprint.,no,,
Thesis,Doctoral Dissertation,"Exploring Heterogeneous and Time-Varying Materials for Photonic Applications, Towards Solutions for the Manipulation and Confinement of Light",D.P. San Roman Alerigi,2014-11,King Abdullah University of Science and Technology (KAUST); advisor Prof. Boon S. Ooi,https://repository.kaust.edu.sa/handle/10754/335793,,,,Verified,PhD in Electrical Engineering (Photonics).,no,,
